date,incidents
08/28/2014,116
08/28/2015,145
08/28/2016,156
08/29/2011,149
08/29/2012,152
08/29/2013,135
08/29/2014,149
08/29/2015,144
08/29/2016,136
08/30/2011,142
08/30/2012,139
08/30/2013,141
08/30/2014,119
08/30/2015,134
08/30/2016,140
08/31/2011,121
08/31/2012,161
08/31/2013,150
08/31/2014,140
08/31/2015,158
08/31/2016,134
09-01-11,130
09-01-12,168
09-01-13,144
09-01-14,170
09-01-15,159
09-01-16,163
09-02-11,151
09-02-12,134
09-02-13,160
09-02-14,150
09-02-15,134
09-02-16,130
09-03-11,134
09-03-12,133
09-03-13,122
09-03-14,116
09-03-15,120
09-03-16,131
09-04-11,143
09-04-12,152
09-04-13,149
09-04-14,139
09-04-15,142
09-04-16,137
09-05-11,135
09-05-12,133
09-05-13,148
09-05-14,146
09-05-15,150
09-05-16,136
09-06-11,115
09-06-12,129
09-06-13,167
09-06-14,146
09-06-15,145
09-06-16,145
09-07-11,129
09-07-12,119
09-07-13,136
09-07-14,130
09-07-15,172
09-07-16,154
09-08-11,122
09-08-12,143
09-08-13,139
09-08-14,124
09-08-15,139
09-08-16,126
09-09-11,130
09-09-12,121
09-09-13,141
09-09-14,119
09-09-15,141
09-09-16,145
09-10-11,180
09-10-12,124
09-10-13,124
09-10-14,139
09-10-15,152
09-10-16,142
09-11-11,145
09-11-12,117
09-11-13,126
09-11-14,129
09-11-15,163
09-11-16,178
09-12-11,128
09-12-12,123
09-12-13,140
09-12-14,148
09-12-15,143
09-12-16,155
09/13/2011,
09/13/2012,
09/13/2013,
09/13/2014,
09/13/2015,150
09/13/2016,147
09/14/2011,152
09/14/2012,166
09/14/2013,136
09/14/2014,116
09/14/2015,139
09/14/2016,133
09/15/2011,132
09/15/2012,151
09/15/2013,146
09/15/2014,120
09/15/2015,158
09/15/2016,153
09/16/2011,174
09/16/2012,115
09/16/2013,135
09/16/2014,124
09/16/2015,143
09/16/2016,150
09/17/2011,144
09/17/2012,122
09/17/2013,155
09/17/2014,131
09/17/2015,164
09/17/2016,147
09/18/2011,148
09/18/2012,148
09/18/2013,117
09/18/2014,165
09/18/2015,154
09/18/2016,144
09/19/2011,153
09/19/2012,150
09/19/2013,121
09/19/2014,121
09/19/2015,137
09/19/2016,130
09/20/2011,148
09/20/2012,126
09/20/2013,152
09/20/2014,134
09/20/2015,161
09/20/2016,146
09/21/2011,146
09/21/2012,150
09/21/2013,130
09/21/2014,146
09/21/2015,150
09/21/2016,142
09/22/2011,155
09/22/2012,167
09/22/2013,128
09/22/2014,154
09/22/2015,169
09/22/2016,182
09/23/2011,152
09/23/2012,130
09/23/2013,147
09/23/2014,151
09/23/2015,159
09/23/2016,163
09/24/2011,159
09/24/2012,136
09/24/2013,136
09/24/2014,119
09/24/2015,132
09/24/2016,192
09/25/2011,143
09/25/2012,164
09/25/2013,172
09/25/2014,124
09/25/2015,140
09/25/2016,154
09/26/2011,174
09/26/2012,138
09/26/2013,149
09/26/2014,140
09/26/2015,130
09/26/2016,127
09/27/2011,156
09/27/2012,
09/27/2013,
09/27/2014,
09/27/2015,
09/27/2016,
09/28/2011,
09/28/2012,
09/28/2013,
09/28/2014,
09/28/2015,
09/28/2016,
09/29/2011,
09/29/2012,
09/29/2013,
