Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,13566.53027,13594.40039,13473.19043,13573.32031,13573.32031,5522100000
2023-06-14,13570.55957,13661.74023,13455.99023,13626.48047,13626.48047,5772550000
2023-06-15,13572.87988,13828.16992,13561.37012,13782.82031,13782.82031,5667520000
2023-06-16,13859.07031,13864.05957,13680.9502,13689.57031,13689.57031,8076530000
2023-06-20,13642.29004,13711.17969,13561.83984,13667.29004,13667.29004,5237710000
2023-06-21,13620.87012,13638.57031,13460.94043,13502.2002,13502.2002,5194640000
2023-06-22,13443.41016,13631.84961,13441.55957,13630.61035,13630.61035,4499550000
2023-06-23,13484.09961,13572.19043,13442.65039,13492.51953,13492.51953,7734500000
2023-06-26,13468.74023,13573.57031,13334.41992,13335.78027,13335.78027,4430600000
2023-06-27,13389.25,13578.79981,13366.96973,13555.66992,13555.66992,5053660000
2023-06-28,13506.01953,13654.13965,13495.73047,13591.75,13591.75,4533270000
2023-06-29,13592.36035,13618.53027,13540.25977,13591.33008,13591.33008,4388140000
2023-06-30,13719.98047,13816.67969,13716.16016,13787.91992,13787.91992,4661120000
2023-07-03,13798.7002,13839.08984,13773.41016,13816.76953,13816.76953,2902300000
2023-07-05,13772.09961,13844.5,13764.25,13791.65039,13791.65039,5339340000
2023-07-06,13653.16992,13689.51953,13567.25,13679.04004,13679.04004,6113080000
2023-07-07,13668.07031,13804.50977,13656.73047,13660.71973,13660.71973,5098120000
2023-07-10,13645.37012,13692.41016,13584.87012,13685.48047,13685.48047,5275390000
2023-07-11,13709.80957,13774.83008,13643.32031,13760.7002,13760.7002,4840950000
2023-07-12,13915.63965,13963.4502,13842.12988,13918.95996,13918.95996,5230620000
2023-07-13,14021.15039,14163.79981,14012.24023,14138.57031,14138.57031,5183560000
2023-07-14,14166.66016,14232.11035,14081.95996,14113.7002,14113.7002,5366890000
2023-07-17,14149.91992,14274.41016,14138.00977,14244.9502,14244.9502,4593160000
2023-07-18,14212.25,14396.69043,14176.11035,14353.63965,14353.63965,4824070000
2023-07-19,14398.53027,14446.54981,14317.08984,14358.01953,14358.01953,5112420000
2023-07-20,14273.29004,14309.91992,14030.62012,14063.30957,14063.30957,5128020000
2023-07-21,14148.17969,14179.00977,14020.4502,14032.80957,14032.80957,5254180000
2023-07-24,14081.62988,14110.15039,13997.12988,14058.87012,14058.87012,4083070000
2023-07-25,14093.24023,14201.91016,14092.51953,14144.55957,14144.55957,3812470000
2023-07-26,14123.51953,14187.34961,14041.9502,14127.28027,14127.28027,4322000000
2023-07-27,14319.16016,14360.2002,14006.92969,14050.11035,14050.11035,5115840000
2023-07-28,14199.83008,14344.34961,14188.09961,14316.66016,14316.66016,4453520000
2023-07-31,14337.90039,14370.91016,14292.75,14346.01953,14346.01953,4934440000
2023-08-01,14274.92969,14309.20996,14215.63965,14283.91016,14283.91016,4633770000
2023-08-02,14132.73047,14133.84961,13914.80957,13973.4502,13973.4502,5481960000
2023-08-03,13899.75977,14032.28027,13881.34961,13959.71973,13959.71973,6036970000
2023-08-04,14025.95996,14119.21973,13897.92969,13909.24023,13909.24023,5349450000
2023-08-07,13972.4502,13997.15039,13864.91992,13994.40039,13994.40039,4892330000
2023-08-08,13875.4502,13899.74023,13769.33984,13884.32031,13884.32031,5284550000
2023-08-09,13897.61035,13898.54004,13698.38965,13722.01953,13722.01953,5591360000
2023-08-10,13818.25,13947.16016,13686.50977,13737.99023,13737.99023,5299080000
2023-08-11,13633.65039,13720.33008,13609.98047,13644.84961,13644.84961,4638880000
2023-08-14,13599,13789.16016,13582.49023,13788.33008,13788.33008,4272020000
2023-08-15,13760.48047,13774.98047,13611.94043,13631.04981,13631.04981,4473320000
2023-08-16,13593.16992,13644.32031,13473.03027,13474.62988,13474.62988,6243760000
2023-08-17,13527.29981,13535.08984,13303.4502,13316.92969,13316.92969,5280180000
2023-08-18,13190.01953,13335.87012,13161.75977,13290.78027,13290.78027,4801910000
2023-08-21,13347.25977,13516.86035,13325.58984,13497.58984,13497.58984,4363070000
2023-08-22,13593.9502,13598.76953,13484.37988,13505.87012,13505.87012,4282430000
2023-08-23,13532.42969,13757,13532.42969,13721.03027,13721.03027,4127850000
2023-08-24,13834.30957,13834.69043,13462.83984,13463.96973,13463.96973,4383820000
2023-08-25,13514.37012,13633.41992,13376.34961,13590.65039,13590.65039,3970060000
2023-08-28,13695.36035,13735.98047,13626.63965,13705.12988,13705.12988,3666680000
2023-08-29,13687.23047,13959.80957,13677.05957,13943.75977,13943.75977,4748180000
2023-08-30,13961.76953,14050.82031,13924.2002,14019.30957,14019.30957,4364600000
2023-08-31,14041.54004,14114.66992,14010.48047,14034.96973,14034.96973,4568610000
2023-09-01,14129.95996,14149.62012,13982.41992,14031.80957,14031.80957,4033960000
2023-09-05,13994.54004,14060.84961,13945.65039,14020.9502,14020.9502,4379790000
2023-09-06,13988.80957,14001.9502,13802.41992,13872.46973,13872.46973,4215320000
2023-09-07,13675.11035,13774.62988,13642.46973,13748.83008,13748.83008,4320830000
2023-09-08,13754.70996,13843.37012,13733.17969,13761.53027,13761.53027,4160360000
2023-09-11,13884.03027,13937.46973,13805.12988,13917.88965,13917.88965,4538870000
2023-09-12,13858.94043,13913.59961,13763.69043,13773.61035,13773.61035,4595490000
2023-09-13,13773.66992,13868.57031,13733.82031,13813.58984,13813.58984,4840310000
2023-09-14,13889.75977,13957.57031,13810.66016,13926.04981,13926.04981,4649010000
2023-09-15,13889.2002,13895.75,13684.24023,13708.33008,13708.33008,8162210000
2023-09-18,13669.95996,13751.28027,13663.45996,13710.24023,13710.24023,4855880000
2023-09-19,13649.44043,13705.15039,13578.87012,13678.19043,13678.19043,4453460000
2023-09-20,13710.25977,13727.80957,13467.28027,13469.12988,13469.12988,4782440000
2023-09-21,13328.05957,13362.23047,13222.55957,13223.98047,13223.98047,5014890000
2023-09-22,13287.16992,13353.21973,13200.63965,13211.80957,13211.80957,4302700000
2023-09-25,13172.54004,13277.83008,13132,13271.32031,13271.32031,4100290000
2023-09-26,13180.95996,13199.12988,13033.40039,13063.61035,13063.61035,4693540000
2023-09-27,13115.36035,13156.37012,12963.16016,13092.84961,13092.84961,4841410000
2023-09-28,13043.37012,13270.96973,13025.11035,13201.28027,13201.28027,4648390000
2023-09-29,13337.70996,13382.98047,13177.08984,13219.32031,13219.32031,5138500000
2023-10-02,13217.98047,13364.03027,13204.08008,13307.76953,13307.76953,4554700000
2023-10-03,13229.67969,13280.04004,13008.59961,13059.46973,13059.46973,4684310000
2023-10-04,13092.91992,13258.75977,13072.50977,13236.00977,13236.00977,4308070000
2023-10-05,13228.12012,13251.17969,13087.57031,13219.83008,13219.83008,4167470000
2023-10-06,13127.67969,13472.26953,13099.03027,13431.33984,13431.33984,4309420000
2023-10-09,13326.21973,13509.29981,13277.48047,13484.24023,13484.24023,3835930000
2023-10-10,13505.80957,13659.62988,13491.80957,13562.83984,13562.83984,4301350000
2023-10-11,13619.20996,13671.11035,13549.29004,13659.67969,13659.67969,4160440000
2023-10-12,13672.46973,13714.13965,13491.55957,13574.21973,13574.21973,4858620000
2023-10-13,13613.58984,13619.54004,13361.84961,13407.23047,13407.23047,4251550000
2023-10-16,13453.80957,13598.04981,13447.16992,13567.98047,13567.98047,4308690000
2023-10-17,13419.87012,13602.25,13364.74023,13533.75,13533.75,4417640000
2023-10-18,13439.67969,13499.74023,13275.29981,13314.29981,13314.29981,4617140000
2023-10-19,13354.79981,13404.73047,13157.33008,13186.17969,13186.17969,5014790000
2023-10-20,13157.76953,13177.34961,12977.42969,12983.80957,12983.80957,4622840000
2023-10-23,12930.84961,13143.21973,12848.83008,13018.33008,13018.33008,4669060000
2023-10-24,13084.99023,13170.38965,13022.84961,13139.87012,13139.87012,4604720000
2023-10-25,13039.86035,13042.51953,12804.29981,12821.21973,12821.21973,4599850000
2023-10-26,12768.96973,12818.13965,12543.86035,12595.61035,12595.61035,4894900000
2023-10-27,12718.69043,12772.42969,12600.57031,12643.00977,12643.00977,4172100000
2023-10-30,12750.46973,12842.95996,12691.55957,12789.48047,12789.48047,4149320000
2023-10-31,12786.62012,12859.40039,12697.04004,12851.24023,12851.24023,4315630000
2023-11-01,12887.05957,13072.41992,12875.2002,13061.46973,13061.46973,4545120000
2023-11-02,13230.49023,13302.17969,13177.63965,13294.19043,13294.19043,4962950000
2023-11-03,13362.84961,13520.28027,13344.73047,13478.28027,13478.28027,4918750000
2023-11-06,13514.08008,13551.62012,13435.99023,13518.78027,13518.78027,4345850000
2023-11-07,13555.79004,13675.45996,13516.55957,13639.86035,13639.86035,4354460000
2023-11-08,13660.21973,13684.87012,13573.58008,13650.41016,13650.41016,4685550000
2023-11-09,13693.7002,13697.82031,13506.01953,13521.4502,13521.4502,5313970000
2023-11-10,13571.19043,13802.53027,13556.34961,13798.11035,13798.11035,4722140000
2023-11-13,13745.95996,13805.11035,13687.78027,13767.74023,13767.74023,4349590000
2023-11-14,14015.37012,14124.05957,14003.13965,14094.37988,14094.37988,5332490000
2023-11-15,14147.26953,14194.36035,14060.7002,14103.83984,14103.83984,5063830000
2023-11-16,14066.87988,14130.4502,14033.79004,14113.66992,14113.66992,4545180000
2023-11-17,14101.44043,14154.32031,14063.92969,14125.48047,14125.48047,4408640000
2023-11-20,14134.75,14309.79981,14134.2002,14284.53027,14284.53027,4561810000
2023-11-21,14217.23047,14237.5,14146.30957,14199.98047,14199.98047,4128600000
2023-11-22,14283.82031,14359.61035,14226.62988,14265.86035,14265.86035,3855240000
2023-11-24,14238.04004,14270.28027,14214.12988,14250.84961,14250.84961,2541840000
2023-11-27,14239.30957,14305.70996,14205.24023,14241.01953,14241.01953,4205880000
2023-11-28,14224.62988,14303.66016,14195.71973,14281.75977,14281.75977,4474400000
2023-11-29,14367.11035,14423.21973,14247.88965,14258.49023,14258.49023,4890220000
2023-11-30,14265.04981,14289.2002,14127.04981,14226.21973,14226.21973,5678070000
2023-12-01,14181.34961,14311.9502,14135,14305.03027,14305.03027,5607000000
2023-12-04,14168.66016,14197.51953,14058.51953,14185.49023,14185.49023,6270020000
2023-12-05,14126.40039,14285.66016,14121.75977,14229.91016,14229.91016,6179120000
2023-12-06,14325.62012,14327.62988,14138.50977,14146.70996,14146.70996,5167030000
2023-12-07,14230.42969,14353.11035,14220.87012,14339.99023,14339.99023,5694310000
2023-12-08,14279.45996,14416.91992,14264.95996,14403.96973,14403.96973,5430840000
2023-12-11,14340.12988,14436.08008,14324.57031,14432.49023,14432.49023,5607820000
2023-12-12,14423.00977,14533.40039,14385.38965,14533.40039,14533.40039,4950100000
2023-12-13,14555.67969,14743.54981,14517.51953,14733.95996,14733.95996,6732040000
2023-12-14,14798.71973,14855.62012,14642.23047,14761.55957,14761.55957,8033170000
2023-12-15,14797.45996,14848.40039,14753.16016,14813.91992,14813.91992,8377630000
2023-12-18,14814.01953,14938.04004,14811.82031,14904.80957,14904.80957,5866080000
2023-12-19,14923.01953,15003.79981,14921.59961,15003.21973,15003.21973,5757180000
2023-12-20,14973.36035,15069.29004,14776.29004,14777.94043,14777.94043,6294700000
2023-12-21,14923.13965,14970.80957,14837.46973,14963.87012,14963.87012,5465640000
2023-12-22,15006.17969,15047.19043,14927.12012,14992.96973,14992.96973,4796600000
2023-12-26,15028.69043,15101.17969,15024.05957,15074.57031,15074.57031,6120600000
2023-12-27,15089.66016,15114.08008,15051.66992,15099.17969,15099.17969,7480170000
2023-12-28,15142.08984,15150.07031,15087.21973,15095.13965,15095.13965,5090570000
2023-12-29,15099.2002,15111.41016,14955.37012,15011.34961,15011.34961,5441060000
2024-01-02,14873.7002,14887.79981,14682.37988,14765.94043,14765.94043,5791170000
2024-01-03,14641.46973,14694.58008,14577.44043,14592.20996,14592.20996,5449950000
2024-01-04,14532.23047,14632.76953,14504.78027,14510.29981,14510.29981,5289220000
2024-01-05,14500.11035,14625.19043,14477.57031,14524.07031,14524.07031,5232820000
2024-01-08,14564.46973,14846.90039,14560.2002,14843.76953,14843.76953,6337770000
2024-01-09,14744.12988,14894.32031,14716.70996,14857.70996,14857.70996,5068410000
2024-01-10,14877.7002,14998.2002,14842.7002,14969.65039,14969.65039,4404590000
2024-01-11,15020.9502,15063.61035,14800.37988,14970.19043,14970.19043,5044690000
2024-01-12,15001.00977,15047.25,14931.87988,14972.75977,14972.75977,4958940000
